path,bytes,status,err_row,err_col,err_kind,inner_row,inner_col,snippet,inner_snippet
fasmg/x86/examples/linux/dynamic/import64.inc,1189,ok,,,,,,,
fasmg/x86/examples/linux/dynamic/importx32.inc,1176,ok,,,,,,,
fasmg/x86/examples/linux/x32/hello_x32.asm,342,ok,,,,,,,
fasmg/x86/examples/linux/x32/obj1.asm,260,ok,,,,,,,
fasmg/x86/examples/linux/x32/obj2.asm,282,ok,,,,,,,
fasmg/x86/examples/longmode/basecode.asm,3969,ok,,,,,,,
fasmg/x86/examples/longmode/simple.asm,1900,ok,,,,,,,
fasmg/x86/examples/longmode/test.asm,242,ok,,,,,,,
fasmg/x86/examples/mach-o/demo_dynamic.asm,502,ok,,,,,,,
fasmg/x86/examples/mach-o/demo_dynamic64.asm,516,ok,,,,,,,
fasmg/x86/examples/mach-o/demo_syscall.asm,397,ok,,,,,,,
fasmg/x86/examples/mach-o/demo_syscall64.asm,510,ok,,,,,,,
fasmg/x86/examples/mach-o/msgdemo.asm,296,ok,,,,,,,
fasmg/x86/examples/mach-o/msgdemo64.asm,251,ok,,,,,,,
fasmg/x86/examples/mach-o/writemsg.asm,296,ok,,,,,,,
fasmg/x86/examples/mach-o/writemsg64.asm,524,ok,,,,,,,
fasmg/x86/examples/windows/ddraw/ddraw.asm,6442,ok,,,,,,,
fasmg/x86/examples/windows/ddraw/ddraw.inc,12288,ok,,,,,,,
fasmg/x86/examples/windows/ddraw/gif87a.inc,3606,ok,,,,,,,
fasmg/x86/examples/windows/dialog/dialog.asm,3886,ok,,,,,,,
fasmg/x86/examples/windows/dll/errormsg.asm,1225,ok,,,,,,,
fasmg/x86/examples/windows/dll/lasterr.asm,452,ok,,,,,,,
fasmg/x86/examples/windows/hello/hello.asm,437,ok,,,,,,,
fasmg/x86/examples/windows/minipad/minipad.asm,4951,ok,,,,,,,
fasmg/x86/examples/windows/opengl/opengl.asm,19330,ok,,,,,,,
fasmg/x86/examples/windows/opengl/opengl.inc,65340,ok,,,,,,,
fasmg/x86/examples/windows/quetannon/quetannon.asm,10851,ok,,,,,,,
fasmg/x86/examples/windows/quetannon/riched32.inc,3913,ok,,,,,,,
fasmg/x86/examples/windows/template.asm,1517,ok,,,,,,,
fasmg/x86/examples/windows/usecom/usecom.asm,3420,ok,,,,,,,
fasmg/x86/examples/windows/win64/dll/msgdemo.asm,467,ok,,,,,,,
fasmg/x86/examples/windows/win64/dll/writemsg.asm,827,ok,,,,,,,
fasmg/x86/examples/windows/win64/mandel/ddraw64.inc,12312,ok,,,,,,,
fasmg/x86/examples/windows/win64/mandel/mandel.asm,6285,ok,,,,,,,
fasmg/x86/examples/windows/win64/opengl/opengl.asm,19673,ok,,,,,,,
fasmg/x86/examples/windows/win64/template.asm,1956,ok,,,,,,,
fasmg/x86/examples/windows/win64/usecom/usecom.asm,3465,ok,,,,,,,
fasmg/x86/include/api/advapi32.inc,25256,ok,,,,,,,
fasmg/x86/include/api/comctl32.inc,3776,ok,,,,,,,
fasmg/x86/include/api/comdlg32.inc,1169,ok,,,,,,,
fasmg/x86/include/api/gdi32.inc,16694,ok,,,,,,,
fasmg/x86/include/api/kernel32.inc,37744,ok,,,,,,,
fasmg/x86/include/api/shell32.inc,5997,ok,,,,,,,
fasmg/x86/include/api/user32.inc,29798,ok,,,,,,,
fasmg/x86/include/api/wsock32.inc,2982,ok,,,,,,,
fasmg/x86/include/cpu/80186.inc,8777,ok,,,,,,,
fasmg/x86/include/cpu/80286.inc,2203,ok,,,,,,,
fasmg/x86/include/cpu/80287.inc,262,ok,,,,,,,
fasmg/x86/include/cpu/80386.inc,69164,ok,,,,,,,
fasmg/x86/include/cpu/80387.inc,3916,ok,,,,,,,
fasmg/x86/include/cpu/80486.inc,1463,ok,,,,,,,
fasmg/x86/include/cpu/8086.inc,36243,ok,,,,,,,
fasmg/x86/include/cpu/8087.inc,13167,ok,,,,,,,
fasmg/x86/include/cpu/ext/adx.inc,594,ok,,,,,,,
fasmg/x86/include/cpu/ext/aes.inc,991,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx.inc,40244,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx2.inc,16353,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512.inc,179,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_4vnniw.inc,789,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_bitalg.inc,796,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_ifma.inc,279,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_vbmi.inc,523,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_vbmi2.inc,1983,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_vnni.inc,299,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512_vpopcntdq.inc,313,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512bw.inc,17768,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512cd.inc,815,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512dq.inc,15408,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512er.inc,1245,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512f.inc,89738,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512pf.inc,1757,ok,,,,,,,
fasmg/x86/include/cpu/ext/avx512vl.inc,76,ok,,,,,,,
fasmg/x86/include/cpu/ext/bmi1.inc,2708,ok,,,,,,,
fasmg/x86/include/cpu/ext/bmi2.inc,3156,ok,,,,,,,
fasmg/x86/include/cpu/ext/cet_ibt.inc,120,ok,,,,,,,
fasmg/x86/include/cpu/ext/cet_ss.inc,2388,ok,,,,,,,
fasmg/x86/include/cpu/ext/f16c.inc,979,ok,,,,,,,
fasmg/x86/include/cpu/ext/fma.inc,750,ok,,,,,,,
fasmg/x86/include/cpu/ext/fsgsbase.inc,525,ok,,,,,,,
fasmg/x86/include/cpu/ext/gfni.inc,1230,ok,,,,,,,
fasmg/x86/include/cpu/ext/hle.inc,157,ok,,,,,,,
fasmg/x86/include/cpu/ext/invpcid.inc,421,ok,,,,,,,
fasmg/x86/include/cpu/ext/mmx.inc,4222,ok,,,,,,,
fasmg/x86/include/cpu/ext/movdir64b.inc,589,ok,,,,,,,
fasmg/x86/include/cpu/ext/movdiri.inc,475,ok,,,,,,,
fasmg/x86/include/cpu/ext/mpx.inc,6164,ok,,,,,,,
fasmg/x86/include/cpu/ext/pclmulqdq.inc,281,ok,,,,,,,
fasmg/x86/include/cpu/ext/ptwrite.inc,438,ok,,,,,,,
fasmg/x86/include/cpu/ext/rdrand.inc,217,ok,,,,,,,
fasmg/x86/include/cpu/ext/rdseed.inc,217,ok,,,,,,,
fasmg/x86/include/cpu/ext/rdtscp.inc,44,ok,,,,,,,
fasmg/x86/include/cpu/ext/rtm.inc,792,ok,,,,,,,
fasmg/x86/include/cpu/ext/smx.inc,41,ok,,,,,,,
fasmg/x86/include/cpu/ext/sse.inc,12405,ok,,,,,,,
fasmg/x86/include/cpu/ext/sse2.inc,17256,ok,,,,,,,
fasmg/x86/include/cpu/ext/sse3.inc,1650,ok,,,,,,,
fasmg/x86/include/cpu/ext/sse4.1.inc,6568,ok,,,,,,,
fasmg/x86/include/cpu/ext/sse4.2.inc,1467,ok,,,,,,,
fasmg/x86/include/cpu/ext/ssse3.inc,841,ok,,,,,,,
fasmg/x86/include/cpu/ext/vaes.inc,964,ok,,,,,,,
fasmg/x86/include/cpu/ext/vmx.inc,1535,ok,,,,,,,
fasmg/x86/include/cpu/ext/vpclmulqdq.inc,899,ok,,,,,,,
fasmg/x86/include/cpu/ext/xsave.inc,637,ok,,,,,,,
fasmg/x86/include/cpu/p5.inc,792,ok,,,,,,,
